fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,k_value,l_value,m_value,percentage_free_sulphur,n_value
10.4,0.41,0.55,3.2,0.076,22,54,0.9996,3.15,0.89,9.9,1,10.81,5.405,0.966,24.54545455,1.108
7,0.62,0.18,1.5,0.062,7,50,0.9951,3.08,0.6,9.3,0,7.62,3.81,0.662,71.42857143,0.517
12.6,0.31,0.72,2.2,0.072,6,29,0.9987,2.88,0.82,9.8,1,12.91,6.455,0.892,48.33333333,0.84
11.9,0.4,0.65,2.15,0.068,7,27,0.9988,3.06,0.68,11.3,1,12.3,6.15,0.748,38.57142857,0.809
15.6,0.685,0.76,3.7,0.1,6,43,1.0032,2.95,0.68,11.2,1,16.285,8.1425,0.78,71.66666667,1.312
10,0.44,0.49,2.7,0.077,11,19,0.9963,3.23,0.63,11.6,1,10.44,5.22,0.707,17.27272727,0.9465
5.3,0.57,0.01,1.7,0.054,5,27,0.9934,3.57,0.84,12.5,1,5.87,2.935,0.894,54,0.539
9.5,0.735,0.1,2.1,0.079,6,31,0.9986,3.23,0.56,10.1,1,10.235,5.1175,0.639,51.66666667,0.6895
12.5,0.38,0.6,2.6,0.081,31,72,0.9996,3.1,0.73,10.5,0,12.88,6.44,0.811,23.22580645,0.9405
9.3,0.48,0.29,2.1,0.127,6,16,0.9968,3.22,0.72,11.2,0,9.78,4.89,0.847,26.66666667,0.7515
8.6,0.53,0.22,2,0.1,7,27,0.9967,3.2,0.56,10.2,1,9.13,4.565,0.66,38.57142857,0.694
11.9,0.39,0.69,2.8,0.095,17,35,0.9994,3.1,0.61,10.8,1,12.29,6.145,0.705,20.58823529,1.0255
11.9,0.39,0.69,2.8,0.095,17,35,0.9994,3.1,0.61,10.8,1,12.29,6.145,0.705,20.58823529,1.0255
8.4,0.37,0.53,1.8,0.413,9,26,0.9979,3.06,1.06,9.1,1,8.77,4.385,1.473,28.88888889,0.8525
6.8,0.56,0.03,1.7,0.084,18,35,0.9968,3.44,0.63,10,1,7.36,3.68,0.714,19.44444444,0.558
10.4,0.33,0.63,2.8,0.084,5,22,0.9998,3.26,0.74,11.2,1,10.73,5.365,0.824,44,1.008
7,0.23,0.4,1.6,0.063,21,67,0.9952,3.5,0.63,11.1,0,7.23,3.615,0.693,31.9047619,0.5915
11.3,0.62,0.67,5.2,0.086,6,19,0.9988,3.22,0.69,13.4,1,11.92,5.96,0.776,31.66666667,1.737
8.9,0.59,0.39,2.3,0.095,5,22,0.9986,3.37,0.58,10.3,0,9.49,4.745,0.675,44,0.8155
9.2,0.63,0.21,2.7,0.097,29,65,0.9988,3.28,0.58,9.6,0,9.83,4.915,0.677,22.4137931,0.9005
10.4,0.33,0.63,2.8,0.084,5,22,0.9998,3.26,0.74,11.2,1,10.73,5.365,0.824,44,1.008
11.6,0.58,0.66,2.2,0.074,10,47,1.0008,3.25,0.57,9,0,12.18,6.09,0.644,47,0.829
9.2,0.43,0.52,2.3,0.083,14,23,0.9976,3.35,0.61,11.3,1,9.63,4.815,0.693,16.42857143,0.8355
8.3,0.615,0.22,2.6,0.087,6,19,0.9982,3.26,0.61,9.3,0,8.915,4.4575,0.697,31.66666667,0.8675
11,0.26,0.68,2.55,0.085,10,25,0.997,3.18,0.61,11.8,0,11.26,5.63,0.695,25,0.9435
8.1,0.66,0.7,2.2,0.098,25,129,0.9972,3.08,0.53,9,0,8.76,4.38,0.628,51.6,0.849
11.5,0.315,0.54,2.1,0.084,5,15,0.9987,2.98,0.7,9.2,1,11.815,5.9075,0.784,30,0.78
10,0.29,0.4,2.9,0.098,10,26,1.0006,3.48,0.91,9.7,0,10.29,5.145,1.008,26,0.999
10.3,0.5,0.42,2,0.069,21,51,0.9982,3.16,0.72,11.5,1,10.8,5.4,0.789,24.28571429,0.7185
8.8,0.46,0.45,2.6,0.065,7,18,0.9947,3.32,0.79,14,1,9.26,4.63,0.855,25.71428571,0.9025
11.4,0.36,0.69,2.1,0.09,6,21,1,3.17,0.62,9.2,1,11.76,5.88,0.71,35,0.813
8.7,0.82,0.02,1.2,0.07,36,48,0.9952,3.2,0.58,9.8,0,9.52,4.76,0.65,13.33333333,0.399
13,0.32,0.65,2.6,0.093,15,47,0.9996,3.05,0.61,10.6,0,13.32,6.66,0.703,31.33333333,0.9565
9.6,0.54,0.42,2.4,0.081,25,52,0.997,3.2,0.71,11.4,1,10.14,5.07,0.791,20.8,0.8445
12.5,0.37,0.55,2.6,0.083,25,68,0.9995,3.15,0.82,10.4,1,12.87,6.435,0.903,27.2,0.9315
9.9,0.35,0.55,2.1,0.062,5,14,0.9971,3.26,0.79,10.6,0,10.25,5.125,0.852,28,0.771
10.5,0.28,0.51,1.7,0.08,10,24,0.9982,3.2,0.89,9.4,1,10.78,5.39,0.97,24,0.652
9.6,0.68,0.24,2.2,0.087,5,28,0.9988,3.14,0.6,10.2,0,10.28,5.14,0.687,56,0.7515
9.3,0.27,0.41,2,0.091,6,16,0.998,3.28,0.7,9.7,0,9.57,4.785,0.791,26.66666667,0.7275
10.4,0.24,0.49,1.8,0.075,6,20,0.9977,3.18,1.06,11,1,10.64,5.32,1.135,33.33333333,0.6755
9.6,0.68,0.24,2.2,0.087,5,28,0.9988,3.14,0.6,10.2,0,10.28,5.14,0.687,56,0.7515
9.4,0.685,0.11,2.7,0.077,6,31,0.9984,3.19,0.7,10.1,1,10.085,5.0425,0.777,51.66666667,0.8705
10.6,0.28,0.39,15.5,0.069,6,23,1.0026,3.12,0.66,9.2,0,10.88,5.44,0.729,38.33333333,4.7625
9.4,0.3,0.56,2.8,0.08,6,17,0.9964,3.15,0.92,11.7,1,9.7,4.85,1,28.33333333,0.992
10.6,0.36,0.59,2.2,0.152,6,18,0.9986,3.04,1.05,9.4,0,10.96,5.48,1.202,30,0.854
10.6,0.36,0.6,2.2,0.152,7,18,0.9986,3.04,1.06,9.4,0,10.96,5.48,1.212,25.71428571,0.856
10.6,0.44,0.68,4.1,0.114,6,24,0.997,3.06,0.66,13.4,1,11.04,5.52,0.774,40,1.423
10.2,0.67,0.39,1.9,0.054,6,17,0.9976,3.17,0.47,10,0,10.87,5.435,0.524,28.33333333,0.675
10.2,0.67,0.39,1.9,0.054,6,17,0.9976,3.17,0.47,10,0,10.87,5.435,0.524,28.33333333,0.675
10.2,0.645,0.36,1.8,0.053,5,14,0.9982,3.17,0.42,10,1,10.845,5.4225,0.473,28,0.6385
11.6,0.32,0.55,2.8,0.081,35,67,1.0002,3.32,0.92,10.8,1,11.92,5.96,1.001,19.14285714,0.9905
9.3,0.39,0.4,2.6,0.073,10,26,0.9984,3.34,0.75,10.2,1,9.69,4.845,0.823,26,0.8965
9.3,0.775,0.27,2.8,0.078,24,56,0.9984,3.31,0.67,10.6,1,10.075,5.0375,0.748,23.33333333,0.933
9.2,0.41,0.5,2.5,0.055,12,25,0.9952,3.34,0.79,13.3,1,9.61,4.805,0.845,20.83333333,0.8775
8.9,0.4,0.51,2.6,0.052,13,27,0.995,3.32,0.9,13.4,1,9.3,4.65,0.952,20.76923077,0.908
8.7,0.69,0.31,3,0.086,23,81,1.0002,3.48,0.74,11.6,1,9.39,4.695,0.826,35.2173913,1.005
6.5,0.39,0.23,8.3,0.051,28,91,0.9952,3.44,0.55,12.1,1,6.89,3.445,0.601,32.5,2.5615
10.7,0.35,0.53,2.6,0.07,5,16,0.9972,3.15,0.65,11,1,11.05,5.525,0.72,32,0.921
7.8,0.52,0.25,1.9,0.081,14,38,0.9984,3.43,0.65,9,1,8.32,4.16,0.731,27.14285714,0.6605
7.2,0.34,0.32,2.5,0.09,43,113,0.9966,3.32,0.79,11.1,0,7.54,3.77,0.88,26.27906977,0.859
10.7,0.35,0.53,2.6,0.07,5,16,0.9972,3.15,0.65,11,1,11.05,5.525,0.72,32,0.921
8.7,0.69,0.31,3,0.086,23,81,1.0002,3.48,0.74,11.6,1,9.39,4.695,0.826,35.2173913,1.005
7.8,0.52,0.25,1.9,0.081,14,38,0.9984,3.43,0.65,9,1,8.32,4.16,0.731,27.14285714,0.6605
10.4,0.44,0.73,6.55,0.074,38,76,0.999,3.17,0.85,12,1,10.84,5.42,0.924,20,2.148
10.4,0.44,0.73,6.55,0.074,38,76,0.999,3.17,0.85,12,1,10.84,5.42,0.924,20,2.148
10.5,0.26,0.47,1.9,0.078,6,24,0.9976,3.18,1.04,10.9,1,10.76,5.38,1.118,40,0.703
10.5,0.24,0.42,1.8,0.077,6,22,0.9976,3.21,1.05,10.8,1,10.74,5.37,1.127,36.66666667,0.6625
10.2,0.49,0.63,2.9,0.072,10,26,0.9968,3.16,0.78,12.5,1,10.69,5.345,0.852,26,1.032
10.4,0.24,0.46,1.8,0.075,6,21,0.9976,3.25,1.02,10.8,1,10.64,5.32,1.095,35,0.6695
11.2,0.67,0.55,2.3,0.084,6,13,1,3.17,0.71,9.5,1,11.87,5.935,0.794,21.66666667,0.842
10,0.59,0.31,2.2,0.09,26,62,0.9994,3.18,0.63,10.2,1,10.59,5.295,0.72,23.84615385,0.767
13.3,0.29,0.75,2.8,0.084,23,43,0.9986,3.04,0.68,11.4,1,13.59,6.795,0.764,18.69565217,1.032
12.4,0.42,0.49,4.6,0.073,19,43,0.9978,3.02,0.61,9.5,0,12.82,6.41,0.683,22.63157895,1.5145
10,0.59,0.31,2.2,0.09,26,62,0.9994,3.18,0.63,10.2,1,10.59,5.295,0.72,23.84615385,0.767
10.7,0.4,0.48,2.1,0.125,15,49,0.998,3.03,0.81,9.7,1,11.1,5.55,0.935,32.66666667,0.7885
10.5,0.51,0.64,2.4,0.107,6,15,0.9973,3.09,0.66,11.8,1,11.01,5.505,0.767,25,0.9015
10.5,0.51,0.64,2.4,0.107,6,15,0.9973,3.09,0.66,11.8,1,11.01,5.505,0.767,25,0.9015
8.5,0.655,0.49,6.1,0.122,34,151,1.001,3.31,1.14,9.3,0,9.155,4.5775,1.262,44.41176471,1.989
12.5,0.6,0.49,4.3,0.1,5,14,1.001,3.25,0.74,11.9,1,13.1,6.55,0.84,28,1.438
10.4,0.61,0.49,2.1,0.2,5,16,0.9994,3.16,0.63,8.4,0,11.01,5.505,0.83,32,0.828
10.9,0.21,0.49,2.8,0.088,11,32,0.9972,3.22,0.68,11.7,1,11.11,5.555,0.768,29.09090909,0.982
7.3,0.365,0.49,2.5,0.088,39,106,0.9966,3.36,0.78,11,0,7.665,3.8325,0.868,27.17948718,0.892
9.8,0.25,0.49,2.7,0.088,15,33,0.9982,3.42,0.9,10,1,10.05,5.025,0.988,22,0.952
7.6,0.41,0.49,2,0.088,16,43,0.998,3.48,0.64,9.1,0,8.01,4.005,0.728,26.875,0.742
8.2,0.39,0.49,2.3,0.099,47,133,0.9979,3.38,0.99,9.8,0,8.59,4.295,1.089,28.29787234,0.8375
9.3,0.4,0.49,2.5,0.085,38,142,0.9978,3.22,0.55,9.4,0,9.7,4.85,0.635,37.36842105,0.8905
9.2,0.43,0.49,2.4,0.086,23,116,0.9976,3.23,0.64,9.5,0,9.63,4.815,0.726,50.43478261,0.861
10.4,0.64,0.24,2.8,0.105,29,53,0.9998,3.24,0.67,9.9,0,11.04,5.52,0.775,18.27586207,0.9405
7.3,0.365,0.49,2.5,0.088,39,106,0.9966,3.36,0.78,11,0,7.665,3.8325,0.868,27.17948718,0.892
7,0.38,0.49,2.5,0.097,33,85,0.9962,3.39,0.77,11.4,1,7.38,3.69,0.867,25.75757576,0.8965
8.2,0.42,0.49,2.6,0.084,32,55,0.9988,3.34,0.75,8.7,1,8.62,4.31,0.834,17.1875,0.92
9.9,0.63,0.24,2.4,0.077,6,33,0.9974,3.09,0.57,9.4,0,10.53,5.265,0.647,55,0.8065
9.1,0.22,0.24,2.1,0.078,1,28,0.999,3.41,0.87,10.3,1,9.32,4.66,0.948,280,0.717
11.9,0.38,0.49,2.7,0.098,12,42,1.0004,3.16,0.61,10.3,0,12.28,6.14,0.708,35,0.957
11.9,0.38,0.49,2.7,0.098,12,42,1.0004,3.16,0.61,10.3,0,12.28,6.14,0.708,35,0.957
10.3,0.27,0.24,2.1,0.072,15,33,0.9956,3.22,0.66,12.8,1,10.57,5.285,0.732,22,0.714
10,0.48,0.24,2.7,0.102,13,32,1,3.28,0.56,10,1,10.48,5.24,0.662,24.61538462,0.909
9.1,0.22,0.24,2.1,0.078,1,28,0.999,3.41,0.87,10.3,1,9.32,4.66,0.948,280,0.717
9.9,0.63,0.24,2.4,0.077,6,33,0.9974,3.09,0.57,9.4,0,10.53,5.265,0.647,55,0.8065
8.1,0.825,0.24,2.1,0.084,5,13,0.9972,3.37,0.77,10.7,1,8.925,4.4625,0.854,26,0.72
12.9,0.35,0.49,5.8,0.066,5,35,1.0014,3.2,0.66,12,1,13.25,6.625,0.726,70,1.871
11.2,0.5,0.74,5.15,0.1,5,17,0.9996,3.22,0.62,11.2,0,11.7,5.85,0.72,34,1.743
9.2,0.59,0.24,3.3,0.101,20,47,0.9988,3.26,0.67,9.6,0,9.79,4.895,0.771,23.5,1.0885
9.5,0.46,0.49,6.3,0.064,5,17,0.9988,3.21,0.73,11,1,9.96,4.98,0.794,34,2.02
9.3,0.715,0.24,2.1,0.07,5,20,0.9966,3.12,0.59,9.9,0,10.015,5.0075,0.66,40,0.713
11.2,0.66,0.24,2.5,0.085,16,53,0.9993,3.06,0.72,11,1,11.86,5.93,0.805,33.125,0.8405
14.3,0.31,0.74,1.8,0.075,6,15,1.0008,2.86,0.79,8.4,1,14.61,7.305,0.865,25,0.7255
9.1,0.47,0.49,2.6,0.094,38,106,0.9982,3.08,0.59,9.1,0,9.57,4.785,0.684,27.89473684,0.925
7.5,0.55,0.24,2,0.078,10,28,0.9983,3.45,0.78,9.5,1,8.05,4.025,0.858,28,0.687
10.6,0.31,0.49,2.5,0.067,6,21,0.9987,3.26,0.86,10.7,1,10.91,5.455,0.927,35,0.8815
12.4,0.35,0.49,2.6,0.079,27,69,0.9994,3.12,0.75,10.4,1,12.75,6.375,0.829,25.55555556,0.9175
9,0.53,0.49,1.9,0.171,6,25,0.9975,3.27,0.61,9.4,1,9.53,4.765,0.781,41.66666667,0.7535
6.8,0.51,0.01,2.1,0.074,9,25,0.9958,3.33,0.56,9.5,1,7.31,3.655,0.634,27.77777778,0.669
9.4,0.43,0.24,2.8,0.092,14,45,0.998,3.19,0.73,10,1,9.83,4.915,0.822,32.14285714,0.934
9.5,0.46,0.24,2.7,0.092,14,44,0.998,3.12,0.74,10,1,9.96,4.98,0.832,31.42857143,0.904
5,1.04,0.24,1.6,0.05,32,96,0.9934,3.74,0.62,11.5,0,6.04,3.02,0.67,30,0.553
15.5,0.645,0.49,4.2,0.095,10,23,1.00315,2.92,0.74,11.1,0,16.145,8.0725,0.835,23,1.4055
15.5,0.645,0.49,4.2,0.095,10,23,1.00315,2.92,0.74,11.1,0,16.145,8.0725,0.835,23,1.4055
10.9,0.53,0.49,4.6,0.118,10,17,1.0002,3.07,0.56,11.7,1,11.43,5.715,0.678,17,1.537
15.6,0.645,0.49,4.2,0.095,10,23,1.00315,2.92,0.74,11.1,0,16.245,8.1225,0.835,23,1.4055
10.9,0.53,0.49,4.6,0.118,10,17,1.0002,3.07,0.56,11.7,1,11.43,5.715,0.678,17,1.537
13,0.47,0.49,4.3,0.085,6,47,1.0021,3.3,0.68,12.7,1,13.47,6.735,0.765,78.33333333,1.4305
12.7,0.6,0.49,2.8,0.075,5,19,0.9994,3.14,0.57,11.4,0,13.3,6.65,0.645,38,0.9755
9,0.44,0.49,2.4,0.078,26,121,0.9978,3.23,0.58,9.2,0,9.44,4.72,0.658,46.53846154,0.857
9,0.54,0.49,2.9,0.094,41,110,0.9982,3.08,0.61,9.2,0,9.54,4.77,0.704,26.82926829,1.015
7.6,0.29,0.49,2.7,0.092,25,60,0.9971,3.31,0.61,10.1,1,7.89,3.945,0.702,24,0.954
13,0.47,0.49,4.3,0.085,6,47,1.0021,3.3,0.68,12.7,1,13.47,6.735,0.765,78.33333333,1.4305
12.7,0.6,0.49,2.8,0.075,5,19,0.9994,3.14,0.57,11.4,0,13.3,6.65,0.645,38,0.9755
8.7,0.7,0.24,2.5,0.226,5,15,0.9991,3.32,0.6,9,1,9.4,4.7,0.826,30,0.911
8.7,0.7,0.24,2.5,0.226,5,15,0.9991,3.32,0.6,9,1,9.4,4.7,0.826,30,0.911
9.8,0.5,0.49,2.6,0.25,5,20,0.999,3.31,0.79,10.7,1,10.3,5.15,1.04,40,1.003
6.2,0.36,0.24,2.2,0.095,19,42,0.9946,3.57,0.57,11.7,1,6.56,3.28,0.665,22.10526316,0.7555
11.5,0.35,0.49,3.3,0.07,10,37,1.0003,3.32,0.91,11,1,11.85,5.925,0.98,37,1.123
6.2,0.36,0.24,2.2,0.095,19,42,0.9946,3.57,0.57,11.7,1,6.56,3.28,0.665,22.10526316,0.7555
10.2,0.24,0.49,2.4,0.075,10,28,0.9978,3.14,0.61,10.4,0,10.44,5.22,0.685,28,0.8555
10.5,0.59,0.49,2.1,0.07,14,47,0.9991,3.3,0.56,9.6,0,11.09,5.545,0.63,33.57142857,0.763
10.6,0.34,0.49,3.2,0.078,20,78,0.9992,3.19,0.7,10,1,10.94,5.47,0.778,39,1.097
12.3,0.27,0.49,3.1,0.079,28,46,0.9993,3.2,0.8,10.2,1,12.57,6.285,0.879,16.42857143,1.0675
9.9,0.5,0.24,2.3,0.103,6,14,0.9978,3.34,0.52,10,0,10.4,5.2,0.623,23.33333333,0.7895
8.8,0.44,0.49,2.8,0.083,18,111,0.9982,3.3,0.6,9.5,0,9.24,4.62,0.683,61.66666667,0.9795
8.8,0.47,0.49,2.9,0.085,17,110,0.9982,3.29,0.6,9.8,0,9.27,4.635,0.685,64.70588235,1.0105
10.6,0.31,0.49,2.2,0.063,18,40,0.9976,3.14,0.51,9.8,1,10.91,5.455,0.573,22.22222222,0.7895
12.3,0.5,0.49,2.2,0.089,5,14,1.0002,3.19,0.44,9.6,0,12.8,6.4,0.529,28,0.8025
12.3,0.5,0.49,2.2,0.089,5,14,1.0002,3.19,0.44,9.6,0,12.8,6.4,0.529,28,0.8025
11.7,0.49,0.49,2.2,0.083,5,15,1,3.19,0.43,9.2,0,12.19,6.095,0.513,30,0.7995
12,0.28,0.49,1.9,0.074,10,21,0.9976,2.98,0.66,9.9,1,12.28,6.14,0.734,21,0.705
11.8,0.33,0.49,3.4,0.093,54,80,1.0002,3.3,0.76,10.7,1,12.13,6.065,0.853,14.81481481,1.1645
7.6,0.51,0.24,2.4,0.091,8,38,0.998,3.47,0.66,9.6,1,8.11,4.055,0.751,47.5,0.8135
11.1,0.31,0.49,2.7,0.094,16,47,0.9986,3.12,1.02,10.6,1,11.41,5.705,1.114,29.375,0.955
7.3,0.73,0.24,1.9,0.108,18,102,0.9967,3.26,0.59,9.3,0,8.03,4.015,0.698,56.66666667,0.672
5,0.42,0.24,2,0.06,19,50,0.9917,3.72,0.74,14,1,5.42,2.71,0.8,26.31578947,0.678
10.2,0.29,0.49,2.6,0.059,5,13,0.9976,3.05,0.74,10.5,1,10.49,5.245,0.799,26,0.9075
9,0.45,0.49,2.6,0.084,21,75,0.9987,3.35,0.57,9.7,0,9.45,4.725,0.654,35.71428571,0.92
6.6,0.39,0.49,1.7,0.07,23,149,0.9922,3.12,0.5,11.5,1,6.99,3.495,0.57,64.7826087,0.643
9,0.45,0.49,2.6,0.084,21,75,0.9987,3.35,0.57,9.7,0,9.45,4.725,0.654,35.71428571,0.92
9.9,0.49,0.58,3.5,0.094,9,43,1.0004,3.29,0.58,9,0,10.39,5.195,0.674,47.77777778,1.213
7.9,0.72,0.17,2.6,0.096,20,38,0.9978,3.4,0.53,9.5,0,8.62,4.31,0.626,19,0.862
8.9,0.595,0.41,7.9,0.086,30,109,0.9998,3.27,0.57,9.3,0,9.495,4.7475,0.656,36.33333333,2.495
12.4,0.4,0.51,2,0.059,6,24,0.9994,3.04,0.6,9.3,1,12.8,6.4,0.659,40,0.7315
11.9,0.58,0.58,1.9,0.071,5,18,0.998,3.09,0.63,10,1,12.48,6.24,0.701,36,0.7215
8.5,0.585,0.18,2.1,0.078,5,30,0.9967,3.2,0.48,9.8,1,9.085,4.5425,0.558,60,0.705
12.7,0.59,0.45,2.3,0.082,11,22,1,3,0.7,9.3,1,13.29,6.645,0.782,20,0.821
8.2,0.915,0.27,2.1,0.088,7,23,0.9962,3.26,0.47,10,0,9.115,4.5575,0.558,32.85714286,0.728
13.2,0.46,0.52,2.2,0.071,12,35,1.0006,3.1,0.56,9,1,13.66,6.83,0.631,29.16666667,0.7995
7.7,0.835,0,2.6,0.081,6,14,0.9975,3.3,0.52,9.3,0,8.535,4.2675,0.601,23.33333333,0.8205
13.2,0.46,0.52,2.2,0.071,12,35,1.0006,3.1,0.56,9,1,13.66,6.83,0.631,29.16666667,0.7995
8.3,0.58,0.13,2.9,0.096,14,63,0.9984,3.17,0.62,9.1,1,8.88,4.44,0.716,45,0.944
8.3,0.6,0.13,2.6,0.085,6,24,0.9984,3.31,0.59,9.2,1,8.9,4.45,0.675,40,0.8485
9.4,0.41,0.48,4.6,0.072,10,20,0.9973,3.34,0.79,12.2,1,9.81,4.905,0.862,20,1.512
8.8,0.48,0.41,3.3,0.092,26,52,0.9982,3.31,0.53,10.5,1,9.28,4.64,0.622,20,1.118
10.1,0.65,0.37,5.1,0.11,11,65,1.0026,3.32,0.64,10.4,1,10.75,5.375,0.75,59.09090909,1.659
6.3,0.36,0.19,3.2,0.075,15,39,0.9956,3.56,0.52,12.7,1,6.66,3.33,0.595,26,1.0355
8.8,0.24,0.54,2.5,0.083,25,57,0.9983,3.39,0.54,9.2,0,9.04,4.52,0.623,22.8,0.8995
13.2,0.38,0.55,2.7,0.081,5,16,1.0006,2.98,0.54,9.4,0,13.58,6.79,0.621,32,0.9605
7.5,0.64,0,2.4,0.077,18,29,0.9965,3.32,0.6,10,1,8.14,4.07,0.677,16.11111111,0.7585
8.2,0.39,0.38,1.5,0.058,10,29,0.9962,3.26,0.74,9.8,0,8.59,4.295,0.798,29,0.555
9.2,0.755,0.18,2.2,0.148,10,103,0.9969,2.87,1.36,10.2,1,9.955,4.9775,1.508,103,0.77
9.6,0.6,0.5,2.3,0.079,28,71,0.9997,3.5,0.57,9.7,0,10.2,5.1,0.649,25.35714286,0.8295
9.6,0.6,0.5,2.3,0.079,28,71,0.9997,3.5,0.57,9.7,0,10.2,5.1,0.649,25.35714286,0.8295
11.5,0.31,0.51,2.2,0.079,14,28,0.9982,3.03,0.93,9.8,1,11.81,5.905,1.009,20,0.8015
11.4,0.46,0.5,2.7,0.122,4,17,1.0006,3.13,0.7,10.2,0,11.86,5.93,0.822,42.5,0.971
11.3,0.37,0.41,2.3,0.088,6,16,0.9988,3.09,0.8,9.3,0,11.67,5.835,0.888,26.66666667,0.816
8.3,0.54,0.24,3.4,0.076,16,112,0.9976,3.27,0.61,9.4,0,8.84,4.42,0.686,70,1.106
8.2,0.56,0.23,3.4,0.078,14,104,0.9976,3.28,0.62,9.4,0,8.76,4.38,0.698,74.28571429,1.105
10,0.58,0.22,1.9,0.08,9,32,0.9974,3.13,0.55,9.5,0,10.58,5.29,0.63,35.55555556,0.654
7.9,0.51,0.25,2.9,0.077,21,45,0.9974,3.49,0.96,12.1,1,8.41,4.205,1.037,21.42857143,0.9585
6.8,0.69,0,5.6,0.124,21,58,0.9997,3.46,0.72,10.2,0,7.49,3.745,0.844,27.61904762,1.742
6.8,0.69,0,5.6,0.124,21,58,0.9997,3.46,0.72,10.2,0,7.49,3.745,0.844,27.61904762,1.742
8.8,0.6,0.29,2.2,0.098,5,15,0.9988,3.36,0.49,9.1,0,9.4,4.7,0.588,30,0.767
8.8,0.6,0.29,2.2,0.098,5,15,0.9988,3.36,0.49,9.1,0,9.4,4.7,0.588,30,0.767
8.7,0.54,0.26,2.5,0.097,7,31,0.9976,3.27,0.6,9.3,1,9.24,4.62,0.697,44.28571429,0.8505
7.6,0.685,0.23,2.3,0.111,20,84,0.9964,3.21,0.61,9.3,0,8.285,4.1425,0.721,42,0.7915
8.7,0.54,0.26,2.5,0.097,7,31,0.9976,3.27,0.6,9.3,1,9.24,4.62,0.697,44.28571429,0.8505
10.4,0.28,0.54,2.7,0.105,5,19,0.9988,3.25,0.63,9.5,0,10.68,5.34,0.735,38,0.9705
7.6,0.41,0.14,3,0.087,21,43,0.9964,3.32,0.57,10.5,1,8.01,4.005,0.657,20.47619048,0.9715
10.1,0.935,0.22,3.4,0.105,11,86,1.001,3.43,0.64,11.3,0,11.035,5.5175,0.745,78.18181818,1.1165
7.9,0.35,0.21,1.9,0.073,46,102,0.9964,3.27,0.58,9.5,0,8.25,4.125,0.653,22.17391304,0.6485
8.7,0.84,0,1.4,0.065,24,33,0.9954,3.27,0.55,9.7,0,9.54,4.77,0.615,13.75,0.4525
9.6,0.88,0.28,2.4,0.086,30,147,0.9979,3.24,0.53,9.4,0,10.48,5.24,0.616,49,0.819
9.5,0.885,0.27,2.3,0.084,31,145,0.9978,3.24,0.53,9.4,0,10.385,5.1925,0.614,46.77419355,0.786
7.7,0.915,0.12,2.2,0.143,7,23,0.9964,3.35,0.65,10.2,1,8.615,4.3075,0.793,32.85714286,0.7555
8.9,0.29,0.35,1.9,0.067,25,57,0.997,3.18,1.36,10.3,1,9.19,4.595,1.427,22.8,0.6735
9.9,0.54,0.45,2.3,0.071,16,40,0.9991,3.39,0.62,9.4,0,10.44,5.22,0.691,25,0.8155
9.5,0.59,0.44,2.3,0.071,21,68,0.9992,3.46,0.63,9.5,0,10.09,5.045,0.701,32.38095238,0.8135
9.9,0.54,0.45,2.3,0.071,16,40,0.9991,3.39,0.62,9.4,0,10.44,5.22,0.691,25,0.8155
9.5,0.59,0.44,2.3,0.071,21,68,0.9992,3.46,0.63,9.5,0,10.09,5.045,0.701,32.38095238,0.8135
9.9,0.54,0.45,2.3,0.071,16,40,0.9991,3.39,0.62,9.4,0,10.44,5.22,0.691,25,0.8155
7.8,0.64,0.1,6,0.115,5,11,0.9984,3.37,0.69,10.1,1,8.44,4.22,0.805,22,1.8775
7.3,0.67,0.05,3.6,0.107,6,20,0.9972,3.4,0.63,10.1,0,7.97,3.985,0.737,33.33333333,1.1435
8.3,0.845,0.01,2.2,0.07,5,14,0.9967,3.32,0.58,11,0,9.145,4.5725,0.65,28,0.697
8.7,0.48,0.3,2.8,0.066,10,28,0.9964,3.33,0.67,11.2,1,9.18,4.59,0.736,28,0.933
6.7,0.42,0.27,8.6,0.068,24,148,0.9948,3.16,0.57,11.3,1,7.12,3.56,0.638,61.66666667,2.668
10.7,0.43,0.39,2.2,0.106,8,32,0.9986,2.89,0.5,9.6,0,11.13,5.565,0.606,40,0.791
9.8,0.88,0.25,2.5,0.104,35,155,1.001,3.41,0.67,11.2,0,10.68,5.34,0.774,44.28571429,0.852
15.9,0.36,0.65,7.5,0.096,22,71,0.9976,2.98,0.84,14.9,0,16.26,8.13,0.936,32.27272727,2.428
9.4,0.33,0.59,2.8,0.079,9,30,0.9976,3.12,0.54,12,1,9.73,4.865,0.619,33.33333333,0.9975
8.6,0.47,0.47,2.4,0.074,7,29,0.9979,3.08,0.46,9.5,0,9.07,4.535,0.534,41.42857143,0.851
9.7,0.55,0.17,2.9,0.087,20,53,1.0004,3.14,0.61,9.4,0,10.25,5.125,0.697,26.5,0.9475
10.7,0.43,0.39,2.2,0.106,8,32,0.9986,2.89,0.5,9.6,0,11.13,5.565,0.606,40,0.791
12,0.5,0.59,1.4,0.073,23,42,0.998,2.92,0.68,10.5,1,12.5,6.25,0.753,18.26086957,0.5745
7.2,0.52,0.07,1.4,0.074,5,20,0.9973,3.32,0.81,9.6,1,7.72,3.86,0.884,40,0.471
